,songid,week_position,year,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2721,MotivationKelly Rowland Featuring Lil Wayne,17,2011,Kelly Rowland Featuring Lil Wayne,Motivation,"['atl hip hop', 'dance pop', 'deep pop r&b', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",4Cv5dkUBqepa0siwGREihD,,Motivation,False,231173.0,68.0,0.721,0.6679999999999999,9.0,-5.561,False,0.0505,0.17600000000000002,0.00010400000000000001,0.0732,0.271,140.91899999999998,4.0
2722,MotivationNormani,33,2019,Normani,Motivation,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",0rIAC4PXANcKmitJfoqmVm,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=b8d3901151d34489a160e3cf0ab1fa94,Motivation,False,193837.0,84.0,0.599,0.887,4.0,-3.967,True,0.0984,0.0192,1.21e-06,0.3,0.8809999999999999,170.918,4.0
2723,"MotorSportMigos, Nicki Minaj & Cardi B",6,2017,"Migos, Nicki Minaj & Cardi B",MotorSport,"['atl hip hop', 'pop rap', 'rap', 'trap']",4wFjTWCunQFKtukqrNijEt,,Culture II,True,303076.0,77.0,0.8959999999999999,0.515,2.0,-5.395,True,0.183,0.0338,0.0,0.317,0.174,138.016,4.0
2724,Motorcycle PatchesHuncho Jack,90,2018,Huncho Jack,Motorcycle Patches,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",7g7raxdQpiLZT7aOlib4S1,,Huncho Jac,True,191409.0,68.0,0.87,0.6559999999999999,8.0,-5.081,True,0.11699999999999999,0.0158,0.0,0.106,0.41600000000000004,162.835,4.0
2725,MoveLuke Bryan,50,2016,Luke Bryan,Move,"['contemporary country', 'country', 'country road']",6qoH2pKeEibNUG1pnJIjmZ,,Kill The Lights (Deluxe),False,227413.0,61.0,0.569,0.946,5.0,-0.698,False,0.0808,0.00873,0.0,0.0903,0.778,103.991,4.0
2726,Move That BodyNelly Featuring T-Pain & Akon,54,2010,Nelly Featuring T-Pain & Akon,Move That Body,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",6KiAEdLLo268B0ZKk8Ze2c,,5,False,205013.0,47.0,0.8270000000000001,0.765,5.0,-6.792999999999999,False,0.0366,2.9600000000000005e-05,3.27e-06,0.131,0.545,111.01100000000001,4.0
2727,"Move That DohFuture Featuring Pharrell, Pusha T & Casino",46,2014,"Future Featuring Pharrell, Pusha T & Casino",Move That Doh,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5Sn6Sn0L2bD9ihdz5pbUed,https://p.scdn.co/mp3-preview/8f366391b16c7e3a4e7d7f1ccce5744652b9e5e1?cid=b8d3901151d34489a160e3cf0ab1fa94,Honest,False,340413.0,26.0,0.8759999999999999,0.63,2.0,-4.992,True,0.135,0.0841,0.0,0.0838,0.316,131.033,4.0
2728,MovesBig Sean,38,2017,Big Sean,Moves,"['detroit hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",0Fv5N0cHBsl4bzCbollCAS,,I Decided.,True,142906.0,68.0,0.789,0.53,2.0,-6.2,True,0.293,0.0541,0.0,0.16399999999999998,0.36700000000000005,75.515,4.0
2729,Moves Like JaggerMaroon 5 Featuring Christina Aguilera,1,2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger,"['pop', 'pop rock']",7LcfRTgAVTs5pQGEQgUEzN,,Hands All Over,False,201160.0,71.0,0.722,0.758,11.0,-4.477,False,0.0471,0.0111,0.0,0.308,0.62,128.047,4.0
2730,Moves Like Jagger / Jumpin' Jack FlashGlee Cast,62,2012,Glee Cast,Moves Like Jagger / Jumpin' Jack Flash,"['glee club', 'hollywood', 'post-teen pop']",7v65LdNP0cYFx4cscrI6Vk,https://p.scdn.co/mp3-preview/db0ac0cf7fad9fa4572dae48fb6b350e6accf4d0?cid=b8d3901151d34489a160e3cf0ab1fa94,Moves Like Jagger / Jumpin' Jack Flash (Glee Cast Version),False,196066.0,39.0,0.726,0.89,11.0,-4.187,False,0.0455,0.00969,0.0,0.198,0.878,127.99600000000001,4.0
